Filename,Filetype,Sample ID,Project,Data Collection,R24 ID,File URI,Checksum
pBICCNsMMrCBVIIIiF002d190304c_S2_L001.fastq.tar,fastq,pBICCNsMMrCBVIIIiF002d190304c,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:seq-zwc4vd2,https://assets.nemoarchive.org/seq-zwc4vd2,
pBICCNsMMrCBVIIIiF002d190304a.mex.tar.gz,mex,pBICCNsMMrCBVIIIiF002d190304a,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:der-j58wuis,https://assets.nemoarchive.org/der-j58wuis,
pBICCNsMMrCBVIIIiF002d190304a_S9_L002.fastq.tar,fastq,pBICCNsMMrCBVIIIiF002d190304a,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:seq-u0wnxx9,https://assets.nemoarchive.org/seq-u0wnxx9,
pBICCNsMMrCBVIIIiF002d190304a_S9_L001.fastq.tar,fastq,pBICCNsMMrCBVIIIiF002d190304a,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:seq-t1geu7f,https://assets.nemoarchive.org/seq-t1geu7f,
pBICCNsMMrCCMopPiF7d190314.mex.tar.gz,mex,pBICCNsMMrCCMopPiF7d190314,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:der-m9t38mq,https://assets.nemoarchive.org/der-m9t38mq,
pBICCNsMMrCCMopPiF7d190314_S11_L001.fastq.tar,fastq,pBICCNsMMrCCMopPiF7d190314,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:seq-f5o6bys,https://assets.nemoarchive.org/seq-f5o6bys,
pBICCNsMMrCCMopPiF7d190314_S11_L002.fastq.tar,fastq,pBICCNsMMrCCMopPiF7d190314,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:seq-7umyh74,https://assets.nemoarchive.org/seq-7umyh74,
pBICCNsMMrCBDCNnurriMFd190321.mex.tar.gz,mex,pBICCNsMMrCBDCNnurriMFd190321,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:der-0wzviby,https://assets.nemoarchive.org/der-0wzviby,
pBICCNsMMrCBDCNnurriMFd190321_S7_L001.fastq.tar,fastq,pBICCNsMMrCBDCNnurriMFd190321,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:seq-vko0kes,https://assets.nemoarchive.org/seq-vko0kes,
pBICCNsMMrCBDCNnurriMFd190321_S7_L002.fastq.tar,fastq,pBICCNsMMrCBDCNnurriMFd190321,huang_sn_10xv2_proj,huang_sn_10xv3,nemo:seq-ofcpcx9,https://assets.nemoarchive.org/seq-ofcpcx9,
