Filename,Filetype,Sample ID,Project,Data Collection,R24 ID,File URI,Checksum
GW19_CGE.mex.tar.gz,mex,GW19_CGE,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-coizef4,https://assets.nemoarchive.org/der-coizef4,2dde1a4d61b8d43ab2e8aa82d29dc965
GW22_PFC1.mex.tar.gz,mex,GW22_PFC,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-knhfeak,https://assets.nemoarchive.org/der-knhfeak,
GW22_PFC2.mex.tar.gz,mex,GW22_PFC,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-2x7rq6w,https://assets.nemoarchive.org/der-2x7rq6w,
CS22_GE.mex.tar.gz,mex,CS22_GE,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-2ja4nd3,https://assets.nemoarchive.org/der-2ja4nd3,cd30f56cc61d1e39460c1520f94b0f60
CS22_2_GE.mex.tar.gz,mex,CS22_GE,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-3t5y0z2,https://assets.nemoarchive.org/der-3t5y0z2,ee9b13289fd65dc92591deb3edf83df0
GW19_Temp_all.mex.tar.gz,mex,GW19_Temp_all,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-e4jj4xk,https://assets.nemoarchive.org/der-e4jj4xk,15c0c2d35e578e36d37d0638218a0b39
GW22T_CGE.mex.tar.gz,mex,GW22T_CGE,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-m0hq82j,https://assets.nemoarchive.org/der-m0hq82j,4ff8260671e9bd9a9416eb7df8996d89
CS13_center_midbrain.mex.tar.gz,mex,CS13_central_midbrain,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-ew73auc,https://assets.nemoarchive.org/der-ew73auc,
GW20_claustrum.mex.tar.gz,mex,GW20_claustrum,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-5dfmyup,https://assets.nemoarchive.org/der-5dfmyup,
GW22T_motor2.mex.tar.gz,mex,GW22T_motor,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-1qk7h6k,https://assets.nemoarchive.org/der-1qk7h6k,
GW22T_motor1.mex.tar.gz,mex,GW22T_motor,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-60nou0k,https://assets.nemoarchive.org/der-60nou0k,
GW20_ventral_thalamus.mex.tar.gz,mex,GW20_ventral_thalamus,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-a1k20bi,https://assets.nemoarchive.org/der-a1k20bi,
GW22T_somato2.mex.tar.gz,mex,GW22T_somato,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-gq8pdwf,https://assets.nemoarchive.org/der-gq8pdwf,
GW22T_somato1.mex.tar.gz,mex,GW22T_somato,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-f97p3ys,https://assets.nemoarchive.org/der-f97p3ys,
CS22_2_midbrain.mex.tar.gz,mex,CS22_Midbrain,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-bmizjtk,https://assets.nemoarchive.org/der-bmizjtk,c62e0a658d49586987aff0ceaf4c63d7
CS22_Midbrain.mex.tar.gz,mex,CS22_Midbrain,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-qy02c3a,https://assets.nemoarchive.org/der-qy02c3a,8af2a629a65592eb76ce1280fe9fe5d5
CS13_olfactory_placode.mex.tar.gz,mex,CS13_olfactory_placode,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-jd9vzsc,https://assets.nemoarchive.org/der-jd9vzsc,
GW20_putamen.mex.tar.gz,mex,GW20_putamen,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-2yhk7zr,https://assets.nemoarchive.org/der-2yhk7zr,
GW19_V1_all.mex.tar.gz,mex,GW19_V1_all,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-4vknh9b,https://assets.nemoarchive.org/der-4vknh9b,a546faa03fdd6b4d036ee282771cb6fe
GW22_somato1.mex.tar.gz,mex,GW22_somato,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-dgpeh9v,https://assets.nemoarchive.org/der-dgpeh9v,
GW22_somato2.mex.tar.gz,mex,GW22_somato,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-gz5tquk,https://assets.nemoarchive.org/der-gz5tquk,
GW19_M1_all.mex.tar.gz,mex,GW19_M1_all,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-3rwjxy6,https://assets.nemoarchive.org/der-3rwjxy6,10f0be4357483b661168b85be72a01bf
GW19_hippocampus.mex.tar.gz,mex,GW19_hippocampus,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-vukv4qh,https://assets.nemoarchive.org/der-vukv4qh,61e169082eecd36ef294332924fe8675
CS20_striatum1.mex.tar.gz,mex,CS20_striatum,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-ffwgrqm,https://assets.nemoarchive.org/der-ffwgrqm,
CS20_striatum2.mex.tar.gz,mex,CS20_striatum,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-k2u06mm,https://assets.nemoarchive.org/der-k2u06mm,
CS20_central2.mex.tar.gz,mex,CS20_central,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-6fzrb3q,https://assets.nemoarchive.org/der-6fzrb3q,
CS20_central1.mex.tar.gz,mex,CS20_central,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-3ftn9xn,https://assets.nemoarchive.org/der-3ftn9xn,
