person_reference_id,person_name,person_given_name,person_family_name,orcid_symbol
Nick Foster,Nick Foster,Nick,Foster,
Nico Pierson,Nico Pierson,Nico,Pierson,
Paola Arlotta,Paola Arlotta,Paola,Arlotta,
Patrick Hof,Patrick Hof,Patrick,Hof,
Pavel Osten,Pavel Osten,Pavel,Osten,
Peng Xie,Peng Xie,Peng,Xie,0000-0002-9509-7268
Peter Kharchenko,Peter Kharchenko,Peter,Kharchenko,
Qingming Luo,Qingming Luo,Qingming,Luo,0000-0002-6725-9311
Ramesh Palaniswamy,Ramesh Palaniswamy,Ramesh,Palaniswamy,0000-0003-4322-2407
Robert Frost,Robert Frost,Robert,Frost,
Ryan Ziffra,Ryan Ziffra,Ryan,Ziffra,
Samantha Serrano,Samantha Serrano,Samantha,Serrano,
Sean Young,Sean Young,Sean,Young,
Sebastian Preissl,Sebastian Preissl,Sebastian,Preissl,0000-0001-8971-5616
Shahul Alam,Shahul Alam,Shahul,Alam,
Shuaibin Chang,Shuaibin Chang,Shuaibin,Chang,
Sten Linnarsson,Sten Linnarsson,Sten,Linnarsson,
Stephanie Mok,Stephanie Mok,Stephanie,Mok,
Steven McCarroll,Steven McCarroll,Steven,McCarroll,
Tanya Daigle,Tanya Daigle,Tanya,Daigle,
Tay Won Shin,Tay Won Shin,Tay Won,Shin,
Timothy Tickle,Timothy Tickle,Timothy,Tickle,
Tomasz Nowakowski,Tomasz Nowakowski,Tomasz,Nowakowski,
Ulrich Mueller,Ulrich Mueller,Ulrich,Mueller,
Velina Kozareva,Velina Kozareva,Velina,Kozareva,
Vladislav Gavryusev,Vladislav Gavryusev,Vladislav,Gavryusev,
William Ammon,William Ammon,William,Ammon,
X. William Yang,X. William Yang,William,Yang,
Xiaowei Zhuang,Xiaowei Zhuang,Xiaowei,Zhuang,0000-0002-6034-7853
Yael Balbastre,Yael Balbastre,Yael,Balbastre,
Yang Yu,Yang Yu,Yang,Yu,
Z. Josh Huang,Z. Josh Huang,Z. Josh,Huang,
Zhengzheng S. Liang,Zhengzheng S. Liang,Zhengzheng S.,Liang,
