Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes
190138,mouse,NCBI:txid10090,190138,PlexinD1-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19010309-190138,,,
190135,mouse,NCBI:txid10090,190135,PlexinD1-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19010310-190135,,,
190136,mouse,NCBI:txid10090,190136,PlexinD1-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19010312-190136,,,
190363,mouse,NCBI:txid10090,190363,Fezf2-CreER,cell morphology,fMOST,SSp-ul,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19011801-190363,,,
190364,mouse,NCBI:txid10090,190364,Fezf2-CreER,cell morphology,fMOST,SSp-ul,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19011802-190364,,,
190365,mouse,NCBI:txid10090,190365,Fezf2-CreER,cell morphology,fMOST,SSp-ll,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19011803-190365,,,
190366,mouse,NCBI:txid10090,190366,Fezf2-CreER,cell morphology,fMOST,MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19011804-190366,,,
190367,mouse,NCBI:txid10090,190367,Fezf2-CreER,cell morphology,fMOST,MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19011805-190367,,,
190368,mouse,NCBI:txid10090,190368,Fezf2-CreER,cell morphology,fMOST,MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19011806-190368,,,
190369,mouse,NCBI:txid10090,190369,Fezf2-2A-CreER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19011807-190369,,,
190370,mouse,NCBI:txid10090,190370,Fezf2-CreER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19011808-190370,,,
190902,mouse,NCBI:txid10090,190902,PlexinD1-creER,cell morphology,fMOST,MOs;MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022512-190902,,,
190891,mouse,NCBI:txid10090,190891,PlxnD1-2A-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022513-190891,,,
190892,mouse,NCBI:txid10090,190892,PlexinD1-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022514-190892,,,
190900,mouse,NCBI:txid10090,190900,PlexinD1-creER,cell morphology,fMOST,SSp-ll,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022515-190900,,,
190901,mouse,NCBI:txid10090,190901,PlexinD1-creER,cell morphology,fMOST,SSp-ll,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022516-190901,,,
190903,mouse,NCBI:txid10090,190903,PlxnD1-2A-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022518_190903,,,
190905,mouse,NCBI:txid10090,190905,PlxnD1-2A-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022519-190905,,,
190904,mouse,NCBI:txid10090,190904,PlxnD1-2A-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022520-190904,,,
190896,mouse,NCBI:txid10090,190896,PlexinD1-creER,cell morphology,fMOST,SSp-ul,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022521-190896,,,
