Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
SW171205-02A,mouse,NCBI:txid10090,SW171205-02A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/triple/,,2018Q3,Missing injection structures; merged projects,dong_retro_triple,
SW171221-01A,mouse,NCBI:txid10090,SW171221-01A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2018Q3,Missing injection structures; merged projects,dong_retro_quad,
SW171221-02A,mouse,NCBI:txid10090,SW171221-02A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2018Q3,Missing injection structures; merged projects,dong_retro_quad,
SW171221-03A,mouse,NCBI:txid10090,SW171221-03A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2018Q3,Missing injection structures; merged projects,dong_retro_quad,
SW171221-04A,mouse,NCBI:txid10090,SW171221-04A,wt/wt,connectivity,retrograde tracing,CP:SSp-ul:SSp-bfd:SSs,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,Represented in 2 projects,2018Q3,Represented in 2 projects; merged projects,dong_retro_quad,CP:SSp-ul:SSp-bfd:SSs
SW180131-01A,mouse,NCBI:txid10090,SW180131-01A,wt/wt,connectivity,retrograde tracing,PPN:fail:V:PRNc,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,PPN:fail:V:PNRc
SW180131-02A,mouse,NCBI:txid10090,SW180131-02A,wt/wt,connectivity,retrograde tracing,PPN:PB:SUT;PRNc:PARN,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,PPN:PBscp:SUT/PRNc:PARN
SW180201-01A,mouse,NCBI:txid10090,SW180201-01A,wt/wt,connectivity,retrograde tracing,ICe:V:ISN:VM,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,ICe:V:ISN:VM
SW180201-02A,mouse,NCBI:txid10090,SW180201-02A,wt/wt,connectivity,retrograde tracing,CUN:fail:PARN;LRN:XII,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,CUN:fail:PARN/LRN:XII(c)
SW180329-01A,mouse,NCBI:txid10090,SW180329-01A,wt/wt,connectivity,retrograde tracing,SSp:CP:SSs:MOs,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,SSp:CP:SSs:MOs
