Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV),Prior Sample ID
mouseID_360835_18049,mouse,NCBI:txid10090,360835,Slc6a4-CreERT2_EZ13/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_360835-18049,360835-18049,2019Q4,,,,AIBS_732697001
mouseID_362188_191815,mouse,NCBI:txid10090,362188,Sst-Cre/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_362188-191815,362188-191815,2019Q4,,,,AIBS_998016075
mouseID_362191_191816,mouse,NCBI:txid10090,362191,Sst-Cre/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_362191-191816,362191-191816,2019Q4,,,,AIBS_998016201
mouseID_367667_18052,mouse,NCBI:txid10090,367667,Chat-IRES-Cre-neo/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_367667-18052,367667-18052,2019Q4,,,,AIBS_730859101
mouseID_373187_191817,mouse,NCBI:txid10090,373187,Sst-Cre/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_373187-191817,373187-191817,2019Q4,,,,AIBS_998016366
mouseID_373367_18454,mouse,NCBI:txid10090,373367,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_373367-18454,,2019Q1,,,,AIBS_732709249
mouseID_373368_18455,mouse,NCBI:txid10090,373368,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_373368-18455,,2019Q1,,,,AIBS_732710254
mouseID_373641_18462,mouse,NCBI:txid10090,373641,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,TH; STR,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_373641-18462,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373641-18462,2019Q3,,,TH; STR,AIBS_732713136
mouseID_374706_18461,mouse,NCBI:txid10090,374706,Cux2-CreERT2/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_374706-18461,374706-18461,2019Q4,,,,AIBS_730862660
mouseID_374707_18452,mouse,NCBI:txid10090,374707,Cux2-CreERT2/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_374707-18452,374707-18452,2020Q1,Updated in Q2,,,AIBS_730862678
mouseID_375394_18468,mouse,NCBI:txid10090,375394,Fezf2-CreER/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_375394-18468,375394-18468,2019Q3,Fezf2-CreER;Ai166-375394,,,AIBS_730865518
