Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes
190133,mouse,NCBI:txid10090,190133,PlexinD1-creER,cell morphology,fMOST,MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19010304-190133,,,
190134,mouse,NCBI:txid10090,190134,PlexinD1-creER,cell morphology,fMOST,MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19010303-190134,,,
190135,mouse,NCBI:txid10090,190135,PlexinD1-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19010310-190135,,,
190136,mouse,NCBI:txid10090,190136,PlexinD1-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19010312-190136,,,
190138,mouse,NCBI:txid10090,190138,PlexinD1-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19010309-190138,,,
190892,mouse,NCBI:txid10090,190892,PlexinD1-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022514-190892,,,
190894,mouse,NCBI:txid10090,190894,PlexinD1-creER,cell morphology,fMOST,MOs;MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022524-190894,,,
190896,mouse,NCBI:txid10090,190896,PlexinD1-creER,cell morphology,fMOST,SSp-ul,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022521-190896,,,
190897,mouse,NCBI:txid10090,190897,PlexinD1-creER,cell morphology,fMOST,MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022525-190897,,,
190899,mouse,NCBI:txid10090,190899,PlexinD1-creER,cell morphology,fMOST,MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,#N/A,,,
190900,mouse,NCBI:txid10090,190900,PlexinD1-creER,cell morphology,fMOST,SSp-ll,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022515-190900,,,
190901,mouse,NCBI:txid10090,190901,PlexinD1-creER,cell morphology,fMOST,SSp-ll,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022516-190901,,,
190902,mouse,NCBI:txid10090,190902,PlexinD1-creER,cell morphology,fMOST,MOs;MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022512-190902,,,
190906,mouse,NCBI:txid10090,190906,PlexinD1-creER,cell morphology,fMOST,SSp-ll,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022715-190906,,,
190907,mouse,NCBI:txid10090,190907,PlexinD1-creER,cell morphology,fMOST,MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022716-190907,,,
190908,mouse,NCBI:txid10090,190908,PlexinD1-creER,cell morphology,fMOST,SSp-ul,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022717-190908,,,
190909,mouse,NCBI:txid10090,190909,PlexinD1-creER,cell morphology,fMOST,SSp-ll,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022714-190909,,,
191192,mouse,NCBI:txid10090,191192,PlexinD1-creER,cell morphology,fMOST,SSp-ll,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19030607-191192,,,
